Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Indicator Name,Unit,Footnote (2019-2020),2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C4,Total number of connected properties: water supply,population 000s,,25.5,25.3,24.9,26.273,25.364,25.7,23.6,23.3,22.9,22.8,22.6,22.21,22,23,23,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C6,Number of connected residential properties: wastewater,population 000s,,21.1,22.1,23.4,22.871,22.529,22.2,20.2,19.9,19.5,19.4,19.2,18.86,19,19,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C7,Number of connected non-residential properties: wastewater,population 000s,,1.9,1.8,1.9,1.832,1.796,1.8,1.8,1.8,1.8,1.8,1.8,1.76,2,2,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C8,Total number of connected properties: wastewater,population 000s,,23,24,25,24.703,24.325,24,21.9,21.6,21.3,21.2,21,20.62,20,21,22,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water quality complaints,C9,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,1,0.2,0.5,7,2.2,2.6,3.2,4.2,1,1.2,1.1,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water service complaints,C10,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,0.4,0.2,0,2.5,2.6,1.4,0.9,1.8,5,3.9,3.5,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Wastewater service complaints,C11,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,0.9,0.8,1.2,1.5,1.3,2.2,0.5,0.5,33.2,37.2,43.7,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Billing and account complaints,C12,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,0.1,0.1,0.2,0.3,1,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Total water and wastewater complaints,C13,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,2,1.2,2,11.2,7,6,5,6,,43,,54.7,51,48.6,41.9,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connect time to a telephone operator,C14,Percentage of calls answered by an operator within 30 seconds,%,,60,60,50,47,63,,,,59,48,49,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Average duration of unplanned water supply interruptions,C15,Average duration of an unplanned interruption: water supply,minutes,,95,254,266,119,137,137,124,104,,,200,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water interruption frequency,C17,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,22,1,4,0,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,C18,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,C19,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,3,3,8,33,24,23,27,4,21,15,13,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water service complaints,IC10,Number of water service complaints.,complaints,,10,4,1,66,65,35,21,42,115,89,79,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Wastewater service complaints,IC11,Number of sewerage service complaints,complaints,,20,19,30,36,32,52,11,10,707,785,918,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Billing and account complaints,IC12,Number of billing and account complaints: water supply and sewerage,complaints,,2,2,4,7,25,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Total water and wastewater complaints,IC13,Number of water and sewerage complaints,complaints,,58,31,48,293,178,153,108,149,,980,,1213.8,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water interruption frequency,IC17,Number of unplanned interruptions: water supply,interruptions,,572,410,29,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Number of restrictions for non-payment of water bills,restrictions,,24,45,74,16,43,23,1,0,0,0,0,0,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Number of legal actions taken for non-payment of water bills,legal actions,,72,81,192,873,604,600,636,94,471,342,294,0,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water quality complaints,IC9,Number of water quality complaints: water supply,complaints,,26,6,13,184,56,66,76,97,22,27,25,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E1,Percentage of wastewater only treated to a primary level,%,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E2,Percentage of wastewater only treated to a secondary level,%,,0,0.3,0.6,0.4,0.3,0.2,0.2,0.1,0.2,0.3,0.4,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E3,Percentage of wastewater treated to a tertiary level,%,,100,99.7,99.5,99.6,99.7,99.8,99.7,99.9,99.8,99.7,99.6,99.7,100,100,100,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Biosolids reuse,E8,Percentage of biosolids reused,%,,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E9,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,208,229,229,224.6,272.9,236,262,307,284,260,308,310.1,282,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E10,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,163,154,311,220.26,203.74,168,203,253,263,234,233,237.51,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E11,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",,12,8,8.91,4.95,8.63,0.5,0,0,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E12,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,367,383,418,436.6,477,393,451,541,528,494,540,547.6,282,401,975,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE1,Volume of wastewater only treated to a primary level,ML,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE10,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,3761,3685,4659,5441,4956,4030,4456,5464,5602,4937,4893,4897.1,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE11,Net greenhouse gas emissions: other,t CO2 equivalents,,295,210,221,130,219,14,0,0,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE12,Total net greenhouse gas emissions,ML,,9378,9676,10581,11471,12098,10105,10642,12597,12091,11263,12204,12159,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE2,Volume of wastewater only treated to a secondary level,ML,,11,12,26,20,12,11,7,4,13,15,17,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE3,Volume of wastewater treated to a tertiary level,ML,,4175,4287,4653,4934,4585,4433,4463,4621,5343,5087,4202,3777.1,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE9,Net greenhouse gas emissions: water supply,t CO2 equivalents,,5322,5781,5701,5900,6923,6061,6186,7133,6492,5928,6961,6885,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F1,Total revenue: water supply,$ 000s,,20475,22460.167,20399.311,19751.319,19969.114,18181.382,18026.094,16274.698,11615.32,9879.214,11171.467,9815.111,10029.652,11865.77,12603.658,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F2,Total revenue: wastewater,$ 000s,,24211,25491.135,24530.882,25296.01,25308.449,22580.033,22536.471,19881.621,16824.342,16640.109,18152.566,15119.091,14964.653,13816.781,14552.168,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F3,Total income for the utility,$ 000s,,43815,46779.855,44720.06,44629.456,43901.082,38768.327,40571.374,36142.746,28150.465,26526.424,29324.032,24934.202,24994.305,25682.551,26614.573,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F4,Percentage of residential revenue from usage charges: water supply,%,,75,76,74.9,73.4,75.9,75.2,78.8,78.5,69.4,61.6,64.4,63.7,51.6,69.9,72,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F5,Revenue per property: water supply,$/property,,801,887.71,792.12,751.77,787.31,706.95,764.21,698.99,506.67,434.32,495.42,442.01,457.06,525.68,557.7,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F6,Revenue per property: wastewater,$/property,,1051,1066.06,970.32,1019.8,1040.43,940.83,1027.39,919.54,790.09,786.98,866.38,733.27,735.16,657.43,668.69,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F7,Total income per property,$/property,,1715,1849.39,1798.48,1698.68,1730.84,1508.5,1720.02,1554.06,1228.51,1164.49,1299.58,1122.88,1139.44,1136.54,1177.05,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue from community service obligations (CSOs),F8,Community service obligations ratio,ratio,,0.008,0.0071,0.0074,0.0077,0.0079,0.009,0.0086,0.01,0.0123,0.0131,0.0126,0.0147,0.0147,0.0172,0.0171,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F9,Written-down replacement cost of fixed water supply assets,$ 000s,,241570,238010.487,232711.182,232234.439,227072.314,224122.284,227710.198,229067.305,228970.227,232729.575,230444.599,233721.002,231951.477,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F10,Written-down replacement cost of fixed wastewater assets,$ 000s,,197476,198862.265,208815.848,206850.236,204166.566,198441.651,194587.113,187973.947,187026.207,186619.87,197402.439,197066.351,182825.494,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F11,Operating cost per property: water supply,$/property,,360,333.4,303.33,282.94,294.34,299.88,336.96,370.98,338.94,331.36,328.25,336.74,347.63,303.43,308.31,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F12,Operating cost per property: wastewater,$/property,,489,440.81,409.96,407.37,424.9,425.47,472.4,494.27,513.61,489.94,471.02,317.43,410.71,439.18,411.08,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F13,Combined operating cost per property: water supply and wastewater,$/property,,848,773.65,712.12,690.12,719.74,725.35,809.36,865.25,852.55,821.3,798.05,654.18,730.01,743.94,720.76,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F13.1,Combined operating cost per ML: water supply and wastewater - bulk utility,$/ML,,1042,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F14,Capital expenditure: water supply,$ 000s,,4405,5995.053,3224.088,6871.804,2912.073,2458.611,2676.935,3852.361,2827.193,2528.975,0,5134.173,4927.276,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F15,Capital expenditure: wastewater,$ 000s,,3214,4312.871,2303.214,2777.07,6094.317,2012.575,3649.265,2690.771,0,2620.098,0,6133.04,5408.802,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F16,Total capital expenditure: water supply and wastewater,$ 000s,,7619,10308,5527,9649,9006,4471,6326,6543,2827,5149,0,11267,10336,6211,6225,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F28,Capital expenditure per property: water supply,$/property,,172,237.13,130,261.56,114.81,95.27,113.42,165.13,123.78,111.24,0,231.21,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F29,Capital expenditure per property: wastewater,$/property,,140,180.3785,91.0361,112.4183,250.5372,84.4437,166.2761,124.4156,0,124.2594,0,297.4499,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F17,Economic real rate of return: water supply,ratio,,2.1,3.2,2.8,2.64,2.8,1.9,1.7,0.7,-1.1,-1.7,-1,-1.59,-1.6,-0.3,-0.2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F18,Economic real rate of return: wastewater,ratio,,4.1,5.1,4.6,5.16,5.2,4.1,4.2,2.6,0.9,1.1,2.1,2.13,1.3,0.1,0.8,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F19,Economic real rate of return: water supply and wastewater,ratio,,3,4.1,3.7,3.83,3.9,2.9,2.9,1.5,-0.2,-0.4,0.4,0.11,-0.4,-0.1,0.3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F20,Dividends,$ 000s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F21,Dividend payout ratio,ratio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net debt to equity,F22,Net debt to equity ratio,ratio,,-19.5,-17.9,-15.1,-11.9,-9,-6,-2.4,1.1,2.9,2.8,3.6,4.5,2.8,1.9,1.6,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Interest cover,F23,Interest cover ratio,ratio,,>1,>1,>1,>1,101,>100,54,12.68,0,0,3.5,0.3,0,30.5,0.9,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F24,Net profit after tax (NPAT),$ 000s,,14342,18967.107,17512.052,17546.462,16526.31,10690.791,11764.862,5758.182,-1834.668,-2597.613,1230.021,-1274.803,-2845.383,-5606.829,-430.262,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net profit after tax,F30,Net profit after tax ratio,ratio,,0.3,0.4,0.3916,0.3932,0.3764,0.2758,0.29,0.1593,-0.0652,-0.0979,0.0419,-0.0511,-0.1138,-0.2183,-0.0162,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Community service obligations (CSOs),F25,Community service obligations ($),$ 000s,,339,332.383,331.679,342.278,348.125,349.684,347.969,359.674,347.037,346.743,369.738,367.083,368.226,440.508,454.927,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F26,Capital works grants: water supply,$ 000s,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F27,Capital works grants: wastewater,$ 000s,,789,1645.701,1005.339,480.869,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF11,Operating cost: water supply,$ 000s,,9187,8420.029,7522.529,7433.518,7465.458,7709.278,7938.308,8629.922,7762.056,7554.972,7417.951,7477.764,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF12,Operating cost: wastewater,$ 000s,,11259,10539.984,10357.255,10100.345,10335.885,10189.542,10375.19,10697.484,10939.755,10337.199,9891.415,6545.072,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H1,Water quality guidelines,provided as text,,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guideline,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015. ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Drinking Water Management System including HACCP Plan addressing the 12 elements of a Management System as recommended by Australian Drinking Water Guidelines 2015. ),ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H3,Percentage of population where microbiological compliance was achieved,%,,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H4,Number of zones where chemical compliance was achieved,zones,,1,1,1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,1 of 1,0 of 1,4 of 4,4 of 4,2 of 2,2 of 2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H4a,Total number of zones,zones,,1,1,1,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Public Health,Water quality compliance,H5,Risk-based drinking water management plan externally assessed,yes/no,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1,Tariff structure: water supply,provided as text,,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,n/a,n/a,n/a,n/a,n/a,n/a
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.2,Fixed charge: water supply,$,,139.2,141.06,141.84,144.58,136.15,121.79,103.51,101.79,104.11,106.51,106.16,108.63,112.01,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.3,Usage charge: step 1,$/kL,,1.41,1.43,1.43,1.46,1.39,1.28,1.18,1.04,0.89,0.76,0.66,0.65,0.64,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.4,Usage charge: step 2,$/kL,,2.35,2.38,2.41,2.41,2.42,2.34,2.27,2.12,1.82,1.54,1.33,1.3,1.29,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.5,Usage charge: step 3,$/kL,,1.9,1.93,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.6,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.7,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.12,Special levies: water supply,$,,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.13,Income from special levies retained by the utility: water supply,yes/no,,Not applicable,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.3a,Upper bound of usage: step 1,kL,,225,225,225,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.4a,Upper bound of usage: step 2,kL,,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.5a,Upper bound of usage: step 3,kL,,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.6a,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.7a,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P2,Annual residential bill based on 200 kL per annum: water supply,$,,421.2,426.83,428.2,436.46,414.33,377.83,339.16,309.91,282.26,257.99,237.95,238.48,240.76,236.89,238.43,231.94,265.05,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P3,Typical residential bill: water supply,$,,506.01,526.83,510.22,442.23,446.37,383.24,384.31,399.26,285.15,243,251.43,253.05,236.41,316.33,332.8,318.43,291.64,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.1,Fixed charge: wastewater,$,,713.25,722.78,734.69,748.86,750.71,691.79,617.75,553.08,515.93,525.44,519.83,498.18,504.7,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.2,Usage charge: wastewater,$/kL,,Not applicable,0,Not applicable,Not applicable,Not applicable,,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.3,Special levies: wastewater,$,,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
